INSERT INTO `STUDENT`(`ROLL_NO`, `STUDENT_NAME`, `COURSE`, `YEAR`) VALUES 
(20232701, 'Pankaj Saini', 'BVoc. Software Development', '2nd'),
(20232702, 'Aarav Sharma', 'BVoc. Software Development', '2nd'),
(20232703, 'Isha Verma', 'BVoc. Software Development', '2nd'),
(20232704, 'Mohit Gupta', 'BVoc. Software Development', '2nd'),
(20232705, 'Ananya Rao', 'BVoc. Software Development', '2nd'),
(20232706, 'Karan Singh', 'BVoc. Software Development', '2nd'),
(20232707, 'Sneha Patel', 'BVoc. Software Development', '2nd'),
(20232708, 'Vikram Joshi', 'BVoc. Software Development', '2nd'),
(20232709, 'Neha Mehta', 'BVoc. Software Development', '2nd'),
(20232710, 'Rohan Nair', 'BVoc. Software Development', '2nd'),
(20232711, 'Pooja Yadav', 'BVoc. Software Development', '2nd'),
(20232712, 'Rahul Bhatia', 'BVoc. Software Development', '2nd'),
(20232713, 'Nisha Sood', 'BVoc. Software Development', '2nd'),
(20232714, 'Kriti Sharma', 'BVoc. Software Development', '2nd'),
(20232715, 'Akshay Khanna', 'BVoc. Software Development', '2nd'),
(20232716, 'Tanya Agarwal', 'BVoc. Software Development', '2nd'),
(20232717, 'Aditya Choudhary', 'BVoc. Software Development', '2nd'),
(20232718, 'Meera Desai', 'BVoc. Software Development', '2nd'),
(20232719, 'Harsh Thakur', 'BVoc. Software Development', '2nd'),
(20232720, 'Simran Gill', 'BVoc. Software Development', '2nd'),
(20232721, 'Vansh Rathi', 'BVoc. Software Development', '2nd'),
(20232722, 'Ritika Jain', 'BVoc. Software Development', '2nd'),
(20232723, 'Yash Sharma', 'BVoc. Software Development', '2nd'),
(20232724, 'Divya Singh', 'BVoc. Software Development', '2nd'),
(20232725, 'Siddharth Mehta', 'BVoc. Software Development', '2nd'),
(20232726, 'Tanvi Kapoor', 'BVoc. Software Development', '2nd'),
(20232727, 'Aditi Sharma', 'BVoc. Software Development', '2nd'),
(20232728, 'Rishabh Saxena', 'BVoc. Software Development', '2nd'),
(20232729,'Ritik Gupa','BVoc. Software Development', '2nd'),
(20232731, 'Riya Saini', 'BVoc. Software Development', '2nd'),
(20232732, 'Aarav Sharma', 'BVoc. Software Development', '2nd'),
(20232733, 'Isha Verma', 'BVoc. Software Development', '2nd'),
(20232734, 'Mohit Gupta', 'BVoc. Software Development', '2nd'),
(20232735, 'Ananya Rao', 'BVoc. Software Development', '2nd'),
(20232736, 'Karan Singh', 'BVoc. Software Development', '2nd'),
(20232737, 'Sneha Patel', 'BVoc. Software Development', '2nd'),
(20232738, 'Vikram Joshi', 'BVoc. Software Development', '2nd'),
(20232739, 'Neha Mehta', 'BVoc. Software Development', '2nd'),
(20232740, 'Rohan Nair', 'BVoc. Software Development', '2nd'),
(20232741, 'Pooja Yadav', 'BVoc. Software Development', '2nd'),
(20232742, 'Rahul Bhatia', 'BVoc. Software Development', '2nd'),
(20232743, 'Nisha Sood', 'BVoc. Software Development', '2nd'),
(20232744, 'Kriti Sharma', 'BVoc. Software Development', '2nd'),
(20232745, 'Akshay Khanna', 'BVoc. Software Development', '2nd'),
(20232746, 'Tanya Agarwal', 'BVoc. Software Development', '2nd'),
(20232747, 'Aditya Choudhary', 'BVoc. Software Development', '2nd'),
(20232748, 'Meera Desai', 'BVoc. Software Development', '2nd'),
(20232749, 'Harsh Thakur', 'BVoc. Software Development', '2nd'),
(20232750, 'Simran Gill', 'BVoc. Software Development', '2nd'),
(20232751, 'Vansh Rathi', 'BVoc. Software Development', '2nd'),
(20232752, 'Ritika Jain', 'BVoc. Software Development', '2nd'),
(20232753, 'Yash Sharma', 'BVoc. Software Development', '2nd'),
(20232754, 'Divya Singh', 'BVoc. Software Development', '2nd'),
(20232755, 'Siddharth Mehta', 'BVoc. Software Development', '2nd'),
(20232756, 'Tanvi Kapoor', 'BVoc. Software Development', '2nd'),
(20232757, 'Aditi Sharma', 'BVoc. Software Development', '2nd'),
(20232758, 'Rishabh Saxena', 'BVoc. Software Development', '2nd'),
(20232759, 'Prachi Tiwari', 'BVoc. Software Development', '2nd'),
(20232760, 'Kunal Bansal', 'BVoc. Software Development', '2nd'),
(20232761, 'Sakshi Yadav', 'BVoc. Software Development', '2nd'),
(20232762, 'Deepak Verma', 'BVoc. Software Development', '2nd'),
(20232763, 'Avantika Roy', 'BVoc. Software Development', '2nd'),
(20232764, 'Raghav Sethi', 'BVoc. Software Development', '2nd'),
(20232765, 'Naina Kapoor', 'BVoc. Software Development', '2nd'),
(20232766, 'Vivek Gupta', 'BVoc. Software Development', '2nd'),
(20232767, 'Sonam Sharma', 'BVoc. Software Development', '2nd'),
(20232768, 'Aarohi Deshmukh', 'BVoc. Software Development', '2nd'),
(20232769, 'Kartik Khanna', 'BVoc. Software Development', '2nd'),
(20232770, 'Suman Rani', 'BVoc. Software Development', '2nd'),
(20232771, 'Pranav Agarwal', 'BVoc. Software Development', '2nd'),
(20232772, 'Rupal Jain', 'BVoc. Software Development', '2nd'),
(20232773, 'Devendra Singh', 'BVoc. Software Development', '2nd'),
(20232774, 'Lakshmi Rao', 'BVoc. Software Development', '2nd'),
(20232775, 'Mohini Patel', 'BVoc. Software Development', '2nd'),
(20232776, 'Himanshu Bansal', 'BVoc. Software Development', '2nd'),
(20232777, 'Neeraj Saxena', 'BVoc. Software Development', '2nd'),
(20232778, 'Saloni Mehta', 'BVoc. Software Development', '2nd'),
(20232779, 'Ayesha Khan', 'BVoc. Software Development', '2nd'),
(20232780, 'Rajat Choudhary', 'BVoc. Software Development', '2nd'),
